Sort2,Topics,Questions,Gold keywords,Queries(Keywords)
,criminals' rights,"Criminals serve [too much / little / right amount] of time in prison, In criminal justice, punishment should be more important than rehabilitation. It is a waste of time to try to rehabilitate some criminals.","""prisoners' rights"", ""criminal justice"", ""punitive justice"", ""rehabilitation"", ""retribution"", ""restorative justice"", ""deterrent effect"", ""carceral state"", ""penal policy"", ""prison reform""","criminal justice, punitive justice, rehabilitation, retribution, restorative justice,   deterrent effect, carceral state, penal policy, prison reform, prison sentence,   sentencing law, overincarceration, mandatory minimums, parole system,   prison overcrowding, recidivism rate, habitual offender, prisoners' rights,   humane treatment, reintegration, criminal stigma, correctional system"
,gun policy (gun control),"Gun Laws Should Be Stricter,  ","""gun control"", ""gun laws"", ""gun policy"", ""firearm policy"", ""firearm laws"", ""gun legislation"", ""gun reform"", ""assault weapons"", ""gun licensing"", ""gun violence""","gun control,  gun laws, gun ownership, gun safety, gun policy, firearm policy, firearm laws, firearm ownership, firearm regulation, gun legislation,   gun reform, background checks, assault weapons, red flag laws, gun licensing, magazine limit, concealed carry, open carry, gun violence,   school shootings, mass shootings, public safety, second amendment, gun rights,   NRA lobbying, self defense, buyback programs"
,death penalty,"Favor Death Penalty in Cases of Murder, The death penalty should be an option for the most serious crimes.","""death penalty"", ""capital punishment"", ""life sentence"", ""maximum penalty"", ""justice system"", ""crime prevention"", ""victim rights"", ""judicial error"", ""wrongful conviction"",  ""moral opposition""","death penalty, capital punishment, life sentence, maximum penalty, serious crime,   criminal justice, deterrent effect, retribution, justice system, public safety,   crime prevention, victim rights, punishment theory, wrongful conviction,   moral opposition, judicial error, execution risk, racial bias, human rights,   cruel punishment, abolition movement"
,political stand,"Democrats vs Republicans, [At least / None]  one candidate for political office shares my views , ¡°from each according to his ability, to each according to his need¡± is a fundamentally good idea.","""political ideology"", ""liberalism"", ""conservatism"", ""socialism"", ""communism"", ""libertarianism"",  ""populism"", ""centrism"", ""political spectrum"", ""party affiliation""","political ideology, liberalism, conservatism, socialism, communism, libertarianism,   populism, centrism, political spectrum, party affiliation, democratic party,   republican party, party loyalty, political polarization, third party, partisan identity,   candidate match, vote alignment, political values, personal ideology,   voter identity, ideological agreement"
,security,"Favorable Opinion of Cuba, Military action that defies international law is sometimes justified.","""national security"", ""military action"", ""preemptive strike"", ""armed conflict"", ""self defense"", ""use of force"", ""international law"", ""war crimes"", ""humanitarian intervention"", ""foreign policy""","national security, military action, preemptive strike, armed conflict, self defense,   use of force, international law, war crimes, humanitarian intervention, foreign policy,   sovereignty, global order, geopolitical threat, regime change, international norms,   unilateralism, multilateralism, US-Cuba relations, authoritarian regime, global south,   political realism, diplomacy"
,,,,
Social & Cultural Values,abortion,"Abortion Should Be Legal Under Any Circumstance, Abortion, when the woman¡¯s life is not threatened, should always be illegal.","""abortion rights"", ""pro choice"", ""pro life"", ""reproductive rights"", ""bodily autonomy"", ""abortion ban"", ""abortion legality"", ""abortion access"", ""abortion law"", ""fetal rights""","abortion rights, pro choice, pro life, reproductive rights, bodily autonomy,   abortion ban, abortion legality, abortion access, fetal viability, heartbeat law,   abortion law, late term abortion, rape exception, incest exception, parental consent,   abortion clinic, sanctity of life, moral dilemma, religious ethics, women¡¯s rights,   right to life, fetal rights, civil liberties"
,sexual openness / morality,"Having Baby Outside of Marriage Is Morally Acceptable, Sex Between Unmarried Partners Is Morally Acceptable, Sex outside marriage is usually immoral. Pornography, depicting consenting adults, should be legal for the adult population.What goes on in a private bedroom between consenting adults is no business of the state.These days openness about sex has gone too far.","""sexual openness"", ""sexual freedom"", ""sexual autonomy"", ""sexual ethics"", ""private morality"", ""sexual liberalism"", ""bedroom privacy"", ""sexual behavior"", ""pornography law"", ""obscenity law""","sexual openness, sexual freedom, sexual autonomy, sexual ethics, private morality,   sexual liberalism, bedroom privacy, sexual behavior, pornography law, obscenity law,   adult content, censorship, moral legislation, public decency, consent law,   state intrusion, premarital sex, extramarital sex, single parenthood, cohabitation,   sexual norms, moral conservatism, family values, cultural backlash"
,LGBTQ rights,"Greater social acceptance of Transgender are [good/soso/bad] for society, Same-Sex Marriage Should Be Legally Valid, A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption. No one can feel naturally homosexual.
","""LGBTQ rights"", ""same sex marriage"", ""gender identity"", ""sexual orientation"", ""transgender rights"", ""sexual diversity"", ""gay parenting"", ""LGBT inclusion"", ""queer rights"", ""marriage equality""","LGBTQ rights, same sex marriage, adoption rights, anti discrimination, gender identity,   sexual orientation, transgender rights, marriage equality, social acceptance,   sexual diversity, queer visibility, gay parenting, pride movement, LGBT inclusion,   identity politics, coming out, natural homosexuality, conversion therapy,   traditional values, religious objection, moral panic, gender ideology,   bathroom laws, family structure"
,drug policy,"Marijuana Should be Legal,  Possessing marijuana for personal use should not be a criminal offence.","""marijuana legalization"", ""medical marijuana"", ""cannabis policy"", ""drug reform"", ""drug laws"", ""cannabis use"", ""drug possession"", ""war on drugs"", ""drug sentencing"", ""recreational marijuana""","marijuana legalization, recreational marijuana, medical marijuana, decriminalization,   cannabis policy, drug reform, pot laws, cannabis use, drug possession, drug offense,   controlled substance, drug sentencing, criminalization, nonviolent crime, harm reduction,   expungement, public health, addiction stigma, personal freedom, substance use,   gateway drug, prohibition policy, war on drugs"
,disabled,People with serious inheritable disabilities should not be allowed to reproduce.,"""disability rights¡±,  ""reproductive rights"", ""disabled parenting"",  ""right to reproduce¡±, ""discrimination law"",  ""genetic disability¡±, ""inherited disorder"", ¡°eugenics"",  ""disability ethics"", ""genetic stigma""","disability rights, reproductive rights, disabled parenting, informed consent,   bodily autonomy, right to reproduce, discrimination law, inclusive society,   genetic disability, inherited disorder, eugenics, forced sterilization,   selective breeding, bioethics, disability ethics, prenatal screening,   ableism, genetic stigma, reproductive justice, moral worth, social exclusion, medical ethics"
,gender equality,"Mothers may have careers, but their first duty is to be homemakers.","""gender equality"", ""gender roles"", ""gender norms"", ""sex discrimination"", ""gender bias"", ""feminist theory"", ""women¡¯s rights"", ""working mother"", ""maternal duty"", ""domestic labor""","gender equality, gender roles, gender norms, sex discrimination, gender bias,   feminist theory, women¡¯s rights, patriarchal society, work-life balance,   working mother, caregiving burden, maternal duty, domestic labor, role conflict,   double shift, unpaid labor, parental leave, paternity leave, childcare policy,   flexible work, equal opportunity, occupational segregation, family expectations"
,religion and state,"Religion should be [separated/ supported] by government, You cannot be moral without being religious. It is important that my child¡¯s school instills religious values.","""religious freedom"", ""state religion"", ""secular state"", ""religious neutrality"", ""theocracy"", ""religious establishment"", ""government support"", ""religious education"", ""school prayer"", ""religious curriculum""","separation of church and state, religious freedom, state religion, secular state,   religious neutrality, theocracy, religious establishment, government support,   religious education, school prayer, religious curriculum, faith schools,   moral instruction, public school values, religious morality, divine command,   moral autonomy, belief system, secular ethics, spiritual values, civic religion"
,immigration ,"America¡¯s openness to people from all the world is too much vs or not, Immigration Should Be Decreased, Immigration Is Good for Country, First-generation immigrants can never be fully integrated within their new country.","""immigration policy"", ""border control"", ""immigration reform"", ""refugee status"", ""asylum law"", ""legal immigration"", ""undocumented immigrants"", ""immigration restriction"", ""immigrant assimilation"", ""immigrant workforce""","immigration policy, border control, immigration reform, refugee status, asylum law,   visa quota, legal immigration, undocumented immigrants, open borders,   immigration restriction, multiculturalism, integration failure, immigrant assimilation,   cultural identity, social cohesion, national belonging, labor market,   economic contribution, brain drain, remittances, job competition,   immigrant workforce, public burden"
,education / parenting,Completely or Somewhat Satisfied With K-12 Education in U.S. Schools should not make classroom attendance compulsory. Good parents sometimes have to spank their children. It¡¯s natural for children to keep some secrets from their parents. The prime function of schooling should be to equip the future generation to find jobs. The most important thing for children to learn is to accept discipline.,"""compulsory schooling"", ""vocational education"", ""discipline in schools"", ""K-12 policy"", ""educational outcomes"", ""student autonomy"", ""parental discipline"", ""positive parenting"", ""strict parenting"", ""child obedience""","compulsory schooling, vocational education, discipline in schools, K-12 policy,   school satisfaction, educational outcomes, job readiness, student autonomy,   parental discipline, corporal punishment, positive parenting, strict parenting,   child obedience, behavioral control, family authority, good parenting,   parent-child trust, adolescent secrecy, emotional autonomy, communication norms,   childhood development, youth independence, family structure, moral education"
,bioethics,Doctor Should Be Able to End Life by Painless Means,"""physician-assisted suicide"", ""euthanasia"", ""death with dignity"", ""right to die"", ""end-of-life care"", ""medical ethics"", ""patient autonomy"", ""assisted dying"", ""euthanasia law"", ""bioethics""","bioethics, physician-assisted suicide, euthanasia, death with dignity, right to die,   end-of-life care, palliative care, medical ethics, patient autonomy, assisted dying,   euthanasia law, terminal illness, living will, advance directive, consent to die,   medical legality, sanctity of life, moral dilemma, slippery slope, passive euthanasia,   dignity in death, nonmaleficence"
,nationalism,"US stands above all countries / one of the greatest countries / some others are better, * I¡¯d always support my country, whether it was right or wrong.","""nationalism"", ""patriotism"", ""national pride"", ""flag worship"", ""cultural supremacy"", ""exceptionalism"", ""jingoism"", ""national identity"", ""civic nationalism"", ""ethnic nationalism""","nationalism, patriotism, national pride, blind loyalty, flag worship, cultural supremacy,   exceptionalism, jingoism, American superiority, national identity, civic nationalism,   ethnic nationalism, national myth, collective memory, global citizenship, moral relativism,   right or wrong, ethical nationalism, unquestioned loyalty, state morality,   national allegiance, populist sentiment"
,multiculturalism,"How much would it bother you, if you hear people speak other languages, How much do white people benefit?, Satisfied With State of Race Relations, Our race has many superior qualities, compared with other races. There are no savage and civilised peoples; there are only different cultures.","""multiculturalism"", ""cultural diversity"", ""language tolerance"", ""cultural coexistence"", ""ethnic integration"", ""intercultural contact"", ""cross-cultural tension"", ""cultural acceptance"", ""racial identity""","multiculturalism, cultural diversity, language tolerance, cultural coexistence,   ethnic integration, intercultural contact, cross-cultural tension, cultural acceptance,   racial identity, white privilege, race relations, colorblind racism, racial resentment,   ethnocentrism, in-group bias, identity politics, cultural relativism, cultural supremacy,   decolonial thought, anti-racism, systemic bias, social cohesion, xenophobia, nativism"
,,,,
Environment & Sustainability,climate change / environment,"Protecting Environment Has Priority Over Energy Development, Worry Great Deal or Fair Amount About Global Warming, Human Activity Is Main Cause of Global Warming, Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.","""climate change"", ""global warming"", ""carbon emissions"", ""greenhouse effect"", ""anthropogenic warming"", ""climate denial"", ""environmental alarm"", ""environmental protection"",  ""climate policy"", ""environmental priority""","climate change, global warming, carbon emissions, greenhouse effect, fossil fuels,   anthropogenic warming, climate denial, environmental alarm, environmental protection,   energy development, renewable energy, net zero, climate policy, environmental priority,   emission targets, green transition, economic growth, degrowth, green economy,   sustainable development, climate economics, growth dilemma, climate tradeoff, eco-modernism"
